file,line,match
DEPLOY_NOW.md,18,1. Open: https://ebay-connection-app-k0ge3h93.devinapps.com/admin
DEPLOY_NOW.md,24,Go to: https://ebay-connection-app-k0ge3h93.devinapps.com/orders
PR2_QUESTIONS_ANSWERS.md,267,"    response = await client.post(""https://api.ebay.com/ws/api.dll"", ...)"
DEV_REFERENCE.md,394,- **OAuth Redirect:** https://ebay-connection-app-k0ge3h93.devinapps.com/ebay/callback
DEV_REFERENCE.md,395,- **Backend URL:** https://app-qngipkhc.fly.dev
DEV_REFERENCE.md,396,- **Frontend URL:** https://ebay-connection-app-k0ge3h93.devinapps.com
DEV_REFERENCE.md,397,- **Todo List:** https://ebay-connection-app-k0ge3h93.devinapps.com/todolist
DEV_REFERENCE.md,403,**Session:** https://app.devin.ai/sessions/3ef2b75bb4ad437b8274d8223cc18211
README.md,72,# eBay API Credentials (get these from https://developer.ebay.com/)
README.md,75,EBAY_REDIRECT_URI=http://localhost:5173/ebay/callback
README.md,84,The backend will be available at http://localhost:8000
README.md,100,VITE_API_URL=http://localhost:8000
README.md,108,The frontend will be available at http://localhost:5173
README.md,112,1. Go to https://developer.ebay.com/
README.md,116,5. Configure your RuName (Redirect URL): `http://localhost:5173/ebay/callback` (or your deployed URL)
README.md,122,1. Navigate to http://localhost:5173/register
README.md,127,1. Navigate to http://localhost:5173/login
EBAY_OAUTH_TROUBLESHOOTING.md,15,     - Port numbers (http://localhost:5173 vs http://localhost:3000)
EBAY_OAUTH_TROUBLESHOOTING.md,31,1. Go to https://developer.ebay.com/my/auth
EBAY_OAUTH_TROUBLESHOOTING.md,35,5. It should be exactly: `http://localhost:5173/ebay/callback`
EBAY_OAUTH_TROUBLESHOOTING.md,50,"     ""redirect_uri"": ""http://localhost:5173/ebay/callback"","
EBAY_OAUTH_TROUBLESHOOTING.md,66,- Authorization URL: `https://auth.ebay.com/oauth2/authorize`
EBAY_OAUTH_TROUBLESHOOTING.md,73,- Authorization URL: `https://auth.sandbox.ebay.com/oauth2/authorize`
EBAY_OAUTH_TROUBLESHOOTING.md,79,1. Go to https://developer.ebay.com/my/auth
EBAY_OAUTH_TROUBLESHOOTING.md,84,6. Update the redirect URL to: `http://localhost:5173/ebay/callback`
EBAY_OAUTH_TROUBLESHOOTING.md,90,1. Go to https://developer.ebay.com/support
EBAY_OAUTH_TROUBLESHOOTING.md,100,2. Find one that matches `http://localhost:5173/ebay/callback`
EBAY_OAUTH_TROUBLESHOOTING.md,119,   Generated eBay authorization URL for redirect_uri: http://localhost:5173/ebay/callback
EBAY_OAUTH_TROUBLESHOOTING.md,138,   EBAY_REDIRECT_URI=https://yourdomain.com/ebay/callback
EBAY_OAUTH_TROUBLESHOOTING.md,153,3. **eBay Developer Forums**: https://developer.ebay.com/support/forum
EBAY_OAUTH_TROUBLESHOOTING.md,154,4. **eBay Developer Support**: https://developer.ebay.com/support
EBAY_OAUTH_TROUBLESHOOTING.md,160,EBAY_REDIRECT_URI=http://localhost:5173/ebay/callback
EBAY_OAUTH_TROUBLESHOOTING.md,162,Frontend running on: http://localhost:5173
EBAY_OAUTH_TROUBLESHOOTING.md,166,EBAY_REDIRECT_URI=https://ebay-connector.example.com/ebay/callback
EBAY_OAUTH_TROUBLESHOOTING.md,168,Frontend deployed at: https://ebay-connector.example.com
EBAY_OAUTH_TROUBLESHOOTING.md,174,"- **Redirect URI**: The actual URL (e.g., `http://localhost:5173/ebay/callback`)"
EBAY_OAUTH_TROUBLESHOOTING.md,185,  'https://api.ebay.com/identity/v1/oauth2/token' \
EBAY_OAUTH_TROUBLESHOOTING.md,189,See: https://developer.ebay.com/api-docs/static/oauth-runame.html
DEPLOYMENT_GUIDE.md,78,curl -L https://fly.io/install.sh | sh
DEPLOYMENT_GUIDE.md,184,1. Go to https://developer.ebay.com/my/keys
DEPLOYMENT_GUIDE.md,186,   - Example: `https://your-app.com/ebay/callback`
DEPLOYMENT_GUIDE.md,195,"    allow_origins=[""https://your-frontend-domain.com""],  # Specific domain"
DEPLOYMENT_GUIDE.md,315,- Verify redirect URI matches exactly (including protocol https://)
